node_id,alias,expression_raw,expr_type,alias_table,field,primary_table
52,ТипПенсии,"ВЫБОР
		КОГДА уп_СхемаСчетаНаНачало.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПустаяСсылка) 
			ТОГДА уп_СхемаСчетаНаНачало.Схема.ТипПенсионнойСхемы
		ИНАЧЕ уп_СхемаСчетаНаНачало.ТипПенсии
	КОНЕЦ",case_when,уп_СхемаСчетаНаНачало,Схема.ТипПенсионнойСхемы,РегистрСведений.уп_СхемаСчета.СрезПоследних
53,ПенсионныйСчет,ПенсионныйСчет,field_ref,,,
54,Период,уп_СостоянияПССрезПервых.Период,field_ref,уп_СостоянияПССрезПервых,Период,РегистрСведений.уп_СостоянияПС.СрезПервых
54,Состояние,уп_СостоянияПССрезПервых.Состояние,field_ref,уп_СостоянияПССрезПервых,Состояние,РегистрСведений.уп_СостоянияПС.СрезПервых
54,НомерСчета,уп_СостоянияПССрезПервых.НомерСчета,field_ref,уп_СостоянияПССрезПервых,НомерСчета,РегистрСведений.уп_СостоянияПС.СрезПервых
54,ТипПенсии,ВТ_ТипыПенсийНачалоПериода.ТипПенсии,field_ref,ВТ_ТипыПенсийНачалоПериода,ТипПенсии,ВТ_ТипыПенсийНачалоПериода
54,ВидОбязательств,"ВЫБОР
		КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПожизненныхВыплат)
			ТОГДА ""ОНПП""
		КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.СрочныхВыплат)
			ТОГДА ""ОНСП""
		КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ДоИсчерпанияСредствНаСчете)
			ТОГДА ""ОНИП""
	КОНЕЦ",case_when,ВТ_ТипыПенсийНачалоПериода,ТипПенсии,ВТ_ТипыПенсийНачалоПериода
55,ПенсионныйСчет,ПенсионныйСчет,field_ref,,,
56,Период,"ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора),
		                                                       			ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.СолидарныйПенсионныйСчет))
			ТОГДА &НачалоПериода
		ИНАЧЕ уп_СостоянияПССрезПоследних.Период
    КОНЕЦ",case_when,ВТ_ПенсионныеСчета,ПенсионныйСчет.ТипПенсионногоСчета,ВТ_ПенсионныеСчета
56,Период,"ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора),
		                                                       			ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.СолидарныйПенсионныйСчет))
			ТОГДА &НачалоПериода
		ИНАЧЕ уп_СостоянияПССрезПоследних.Период
    КОНЕЦ",case_when,уп_СостоянияПССрезПоследних,Период,РегистрСведений.уп_СостоянияПС.СрезПоследних
56,Состояние,уп_СостоянияПССрезПоследних.Состояние,field_ref,уп_СостоянияПССрезПоследних,Состояние,РегистрСведений.уп_СостоянияПС.СрезПоследних
56,НомерСчета,ВТ_ПенсионныеСчета.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета,ПенсионныйСчет,ВТ_ПенсионныеСчета
