node_id,node_name,expr_type,expr_text,output_alias,line
88,Часть_4,AGGREGATE,"СУММА(ВЫБОР уп_ЗадолженностьПоПенсиям.ВидДвижения
			КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
				ТОГДА уп_ЗадолженностьПоПенсиям.СуммаПенсии
			ИНАЧЕ -уп_ЗадолженностьПоПенсиям.СуммаПенсии
		КОНЕЦ 
		+ ВЫБОР уп_ЗадолженностьПоПенсиям.ВидДвижения
			КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
				ТОГДА уп_ЗадолженностьПоПенсиям.СуммаДоплаты
			ИНАЧЕ -уп_ЗадолженностьПоПенсиям.СуммаДоплаты
		КОНЕЦ)",ИнвестиционныйДоход,10
88,Часть_4,FUNCTION,0,0,11
89,ВТ_ВыплатыПРТранзитныеВиды,AGGREGATE,СУММА(уп_НачисленияПенсий.Сумма),Пенсия,5
89,ВТ_ВыплатыПРТранзитныеВиды,FUNCTION,0,ВыкупнаяСумма,6
89,ВТ_ВыплатыПРТранзитныеВиды,FUNCTION,0,ВыплатаПравопреемникам,7
89,ВТ_ВыплатыПРТранзитныеВиды,FUNCTION,0,ОбязательстваПередНаследниками,8
90,Часть_1,AGGREGATE,СУММА(уп_НачисленияПенсий.Сумма),Пенсия,5
90,Часть_1,FUNCTION,0,ВыкупнаяСумма,6
90,Часть_1,FUNCTION,0,ВыплатаПравопреемникам,7
90,Часть_1,FUNCTION,0,ОбязательстваПередНаследниками,8
91,Часть_2,FUNCTION,0,0,5
91,Часть_2,AGGREGATE,"СУММА(ВЫБОР
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыРасторженцам)
			ТОГДА уп_ПрочиеНачисления.Сумма
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ПереводВДругойНПФ_НПО)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ 0
	КОНЕЦ)",СУММА,6
91,Часть_2,AGGREGATE,"СУММА(ВЫБОР
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыНаследникам)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ 0
	КОНЕЦ)",СУММА,7
91,Часть_2,FUNCTION,0,0,8
92,Часть_3,FUNCTION,0,0,5
92,Часть_3,FUNCTION,0,0,6
92,Часть_3,FUNCTION,0,0,7
92,Часть_3,AGGREGATE,"СУММА(ВЫБОР уп_ПрочиеНачисления.ВидДвижения
		КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ -уп_ПрочиеНачисления.Сумма
	КОНЕЦ)",СУММА,8
93,Часть_4,AGGREGATE,"СУММА(ВЫБОР уп_ОтвергнутыеПлатежиПенсийНПО.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА -уп_ОтвергнутыеПлатежиПенсийНПО.Сумма
				ИНАЧЕ уп_ОтвергнутыеПлатежиПенсийНПО.Сумма
			КОНЕЦ	 
		+
			ВЫБОР уп_ОтвергнутыеПлатежиПенсийНПО.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА -уп_ОтвергнутыеПлатежиПенсийНПО.НДФЛ
				ИНАЧЕ уп_ОтвергнутыеПлатежиПенсийНПО.НДФЛ
			КОНЕЦ)",СУММА,5
93,Часть_4,FUNCTION,0,0,6
93,Часть_4,FUNCTION,0,0,7
93,Часть_4,FUNCTION,0,0,8
94,Часть_5,FUNCTION,0,0,5
94,Часть_5,AGGREGATE,"СУММА(ВЫБОР 
				КОГДА уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.ТипВыплаты В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыРасторженцам), ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ПереводВДругойНПФ_НПО))
					ТОГДА
						ВЫБОР уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.ВидДвижения
							КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
								ТОГДА -уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.Сумма
							ИНАЧЕ уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.Сумма
						КОНЕЦ	 
					+
						ВЫБОР уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.ВидДвижения
							КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
								ТОГДА -уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.НДФЛ
							ИНАЧЕ уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.НДФЛ
						КОНЕЦ
				ИНАЧЕ 0
			КОНЕЦ )",СУММА,6
94,Часть_5,AGGREGATE,"СУММА(ВЫБОР 
				КОГДА уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.ТипВыплаты В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыНаследникам))
					ТОГДА
						ВЫБОР уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.ВидДвижения
							КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
								ТОГДА -уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.Сумма
							ИНАЧЕ уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.Сумма
						КОНЕЦ	 
					+
						ВЫБОР уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.ВидДвижения
							КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
								ТОГДА -уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.НДФЛ
							ИНАЧЕ уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.НДФЛ
						КОНЕЦ
				ИНАЧЕ 0
			КОНЕЦ )",СУММА,7
94,Часть_5,FUNCTION,0,0,8
95,ВТ_ВыплатыТранзитныеВиды,AGGREGATE,СУММА(ВТ_ВыплатыПРТранзитныеВиды.Пенсия),Пенсия,5
95,ВТ_ВыплатыТранзитныеВиды,AGGREGATE,СУММА(ВТ_ВыплатыПРТранзитныеВиды.ВыкупнаяСумма),ВыкупнаяСумма,6
95,ВТ_ВыплатыТранзитныеВиды,AGGREGATE,СУММА(ВТ_ВыплатыПРТранзитныеВиды.ВыплатаПравопреемникам),ВыплатаПравопреемникам,7
95,ВТ_ВыплатыТранзитныеВиды,AGGREGATE,СУММА(ВТ_ВыплатыПРТранзитныеВиды.ОбязательстваПередНаследниками),ОбязательстваПередНаследниками,8
96,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,CASE,"ВЫБОР уп_Резервы.ВидДвижения
		КОГДА  ЗНАЧЕНИЕ(ВидДвиженияНакопления.Расход)
			ТОГДА уп_Резервы.Сумма
		ИНАЧЕ -уп_Резервы.Сумма
	КОНЕЦ",Сумма,6
98,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,ARITHMETIC,"ЕСТЬNULL(СУММА(ВЫБОР
				КОГДА Резервы.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА Резервы.Сумма
				КОГДА Резервы.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Расход)
					ТОГДА -Резервы.Сумма
			КОНЕЦ), 0)",Сумма,7
