node_id,node_name,source_name,source_kind,ordinal
66,ВТ_ВидыОбязательствДвижение,ВТ_ВИДЫОБЯЗАТЕЛЬСТВ,TempTable,1
67,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,TempTable,1
68,ВТ_СчетаНеТранзитныеВидыОбязательств,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,TempTable,1
68,ВТ_СчетаНеТранзитныеВидыОбязательств,ВТ_СЧЕТАТРАНЗИТНЫЕВИДЫОБЯЗАТЕЛЬСТВ,TempTable,2
69,ВТ_НеТранзитныеВидыНачалоКонец,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,TempTable,1
69,ВТ_НеТранзитныеВидыНачалоКонец,ВТ_СЧЕТАНЕТРАНЗИТНЫЕВИДЫОБЯЗАТЕЛЬСТВ,TempTable,2
70,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,TempTable,1
70,ВТ_ТранзитныеВидыНачалоКонец,ВТ_СЧЕТАТРАНЗИТНЫЕВИДЫОБЯЗАТЕЛЬСТВ,TempTable,2
72,Часть_1,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
72,Часть_1,РЕГИСТРНАКОПЛЕНИЯ.УП_НАЧИСЛЕНИЯПЕНСИЙ,AccumulationRegister,2
72,Часть_1,ВТ_ДОКУМЕНТЫСТОРНО,TempTable,3
73,Часть_2,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
73,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_ПРОЧИЕНАЧИСЛЕНИЯ,AccumulationRegister,2
73,Часть_2,ВТ_ДОКУМЕНТЫСТОРНО,TempTable,3
76,Часть_1,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
76,Часть_1,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ,AccumulationRegister,2
77,Часть_2,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
77,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ,AccumulationRegister,2
79,Часть_2,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
79,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПРОЧИХНАЧИСЛЕНИЙНПО,AccumulationRegister,2
80,Часть_3,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
80,Часть_3,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПРОЧИХНАЧИСЛЕНИЙНПО,AccumulationRegister,2
81,Часть_4,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
81,Часть_4,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПЕНСИЙНПО,AccumulationRegister,2
82,Часть_5,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
82,Часть_5,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПЕНСИЙНПО,AccumulationRegister,2
85,Часть_1,ВТ_ОСТАТКИТРАНЗИТНЫЕВИДЫ,TempTable,1
86,Часть_2,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
86,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_ПОСТУПЛЕНИЯ,AccumulationRegister,2
87,Часть_3,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
87,Часть_3,РЕГИСТРНАКОПЛЕНИЯ.УП_ИНВЕСТДОХОД,AccumulationRegister,2
88,Часть_4,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
88,Часть_4,РЕГИСТРНАКОПЛЕНИЯ.УП_ЗАДОЛЖЕННОСТЬПОПЕНСИЯМ,AccumulationRegister,2
90,Часть_1,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
90,Часть_1,РЕГИСТРНАКОПЛЕНИЯ.УП_НАЧИСЛЕНИЯПЕНСИЙ,AccumulationRegister,2
91,Часть_2,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
91,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_ПРОЧИЕНАЧИСЛЕНИЯ,AccumulationRegister,2
92,Часть_3,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
92,Часть_3,РЕГИСТРНАКОПЛЕНИЯ.УП_ПРОЧИЕНАЧИСЛЕНИЯ,AccumulationRegister,2
93,Часть_4,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
93,Часть_4,РЕГИСТРНАКОПЛЕНИЯ.УП_ОТВЕРГНУТЫЕПЛАТЕЖИПЕНСИЙНПО,AccumulationRegister,2
94,Часть_5,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
94,Часть_5,РЕГИСТРНАКОПЛЕНИЯ.УП_ОТВЕРГНУТЫЕПЛАТЕЖИПРОЧИЕНАЧИСЛЕНИЯНПО,AccumulationRegister,2
95,ВТ_ВыплатыТранзитныеВиды,ВТ_ВЫПЛАТЫПРТРАНЗИТНЫЕВИДЫ,TempTable,1
96,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
