node_id,node_name,join_type,left_source,left_alias,right_source,right_alias,on_expression
90,Часть_1,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_НачисленияПенсий,уп_НачисленияПенсий,уп_НачисленияПенсий.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
91,Часть_2,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ПрочиеНачисления,уп_ПрочиеНачисления,уп_ПрочиеНачисления.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
92,Часть_3,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ПрочиеНачисления,уп_ПрочиеНачисления,уп_ПрочиеНачисления.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
93,Часть_4,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ОтвергнутыеПлатежиПенсийНПО,уп_ОтвергнутыеПлатежиПенсийНПО,уп_ОтвергнутыеПлатежиПенсийНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
94,Часть_5,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО,уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО,уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
96,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,уп_Резервы,(уп_Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет)
98,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,Резервы,(Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет)
98,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПереводыИзРегистров_ВидыДвижений,ВТ_ПереводыИзРегистров_ВидыДвижений,Резервы.ВидДвиженияЕПС = ВТ_ПереводыИзРегистров_ВидыДвижений.Ссылка
98,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,Резервы.ВидДвиженияЕПС = ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы.Ссылка
99,Часть_1,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,Резервы,(Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет)
99,Часть_1,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПереводыИзРегистров_ВидыДвижений,ВТ_ПереводыИзРегистров_ВидыДвижений,Резервы.ВидДвиженияЕПС = ВТ_ПереводыИзРегистров_ВидыДвижений.Ссылка
100,Часть_2,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,Резервы.ВидДвиженияЕПС = ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы.Ссылка
105,ВТ_ОстаткиТранзитныеВиды_Предв,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_Суммы_ПР_ТранзитныеВиды,ВТ_Суммы_ПР_ТранзитныеВиды,(ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_Суммы_ПР_ТранзитныеВиды.ПенсионныйСчет
105,ВТ_ОстаткиТранзитныеВиды_Предв,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ВыплатыТранзитныеВиды,ВТ_ВыплатыТранзитныеВиды,(ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_ВыплатыТранзитныеВиды.ПенсионныйСчет
105,ВТ_ОстаткиТранзитныеВиды_Предв,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПереводыТранзитныеВиды,ВТ_ПереводыТранзитныеВиды,(ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_ПереводыТранзитныеВиды.ПенсионныйСчет
107,ВТ_ТранзитныеВиды_ГруппыСчетов,LEFT JOIN,РегистрСведений.ИФРС17_ГруппыСчетовНПО,ИФРС17_ГруппыСчетовНПО,РегистрСведений.ИФРС17_ГруппыСчетовНПО,ИФРС17_ГруппыСчетовНПО,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ИФРС17_ГруппыСчетовНПО.НомерСчета
107,ВТ_ТранзитныеВиды_ГруппыСчетов,LEFT JOIN,РегистрСведений.ИФРС17_ГруппыСчетовНПО,ИФРС17_ГруппыСчетовНПО,Справочник.ИФРС17_ПортфельДоговоровНПО,ИФРС17_ПортфельДоговоровНПО,(ИФРС17_ПараметрыГруппыДоговоровНПО.ПортфельДоговоровНПО = ИФРС17_ПортфельДоговоровНПО.Ссылка)
109,ВТ_ТранзитныеВиды_ТипыДоговоровЕПС,LEFT JOIN,РегистрСведений.уп_ТипыПенсионныхСчетовДляЕПС,уп_ТипыПенсионныхСчетовДляЕПС,РегистрСведений.уп_ТипыПенсионныхСчетовДляЕПС,уп_ТипыПенсионныхСчетовДляЕПС,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = уп_ТипыПенсионныхСчетовДляЕПС.НомерСчета
111,ВТ_ТранзитныеВиды_ДатыФиксации,LEFT JOIN,РегистрСведений.уп_ДатаФиксацииОбязательствНПО,уп_ДатаФиксацииОбязательствНПО,РегистрСведений.уп_ДатаФиксацииОбязательствНПО,уп_ДатаФиксацииОбязательствНПО,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = уп_ДатаФиксацииОбязательствНПО.НомерСчета
113,ВТ_ТранзитныеВиды_ПериодыГарантВосполнения,LEFT JOIN,РегистрСведений.уп_ПериодыГарантийногоВосполненияНПО,уп_ПериодыГарантийногоВосполненияНПО,РегистрСведений.уп_ПериодыГарантийногоВосполненияНПО,уп_ПериодыГарантийногоВосполненияНПО,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = уп_ПериодыГарантийногоВосполненияНПО.НомерСчета
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВиды_ПериодыГарантВосполнения,ВТ_ТранзитныеВиды_ПериодыГарантВосполнения,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_ТранзитныеВиды_ПериодыГарантВосполнения.ПенсионныйСчет
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВиды_ДатыФиксации,ВТ_ТранзитныеВиды_ДатыФиксации,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_ТранзитныеВиды_ДатыФиксации.ПенсионныйСчет
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВиды_ГруппыСчетов,ВТ_ТранзитныеВиды_ГруппыСчетов,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_ТранзитныеВиды_ГруппыСчетов.ПенсионныйСчет
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет = ВТ_ПенсионныеСчета.ПенсионныйСчет
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,Справочник.уп_ПенсионныеСчета,уп_ПенсионныеСчета,ВТ_ПенсионныеСчета.ПенсионныйСчет = уп_ПенсионныеСчета.Ссылка
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПричиныЗакрытия,ВТ_ПричиныЗакрытия,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ПричиныЗакрытия.ПенсионныйСчет
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ВидыПенсионныхСчетов,ВТ_ВидыПенсионныхСчетов,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ВидыПенсионныхСчетов.ПенсионныйСчет
